[2026-04-12 04:33:05] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1973 | PulsemV=1665 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=3.00 GY=5.27 GZ=0.01 | Temp=32.27 | Frame=345
[2026-04-12 04:33:05] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1952 | PulsemV=1648 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.83 GY=5.26 GZ=-0.14 | Temp=32.30 | Frame=346
[2026-04-12 04:33:06] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1957 | PulsemV=1652 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.99 GY=5.38 GZ=-0.09 | Temp=32.28 | Frame=347
[2026-04-12 04:33:06] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1957 | PulsemV=1652 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.95 GY=5.28 GZ=0.12 | Temp=32.29 | Frame=348
[2026-04-12 04:33:07] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1955 | PulsemV=1650 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.88 GY=5.38 GZ=-0.17 | Temp=32.27 | Frame=349
[2026-04-12 04:33:07] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1951 | PulsemV=1646 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.84 GY=5.27 GZ=-0.16 | Temp=32.31 | Frame=350
[2026-04-12 04:33:08] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1957 | PulsemV=1652 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.97 GY=5.35 GZ=0.09 | Temp=32.28 | Frame=351
[2026-04-12 04:33:08] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1971 | PulsemV=1664 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.86 GY=5.28 GZ=-0.19 | Temp=32.32 | Frame=352
[2026-04-12 04:33:09] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1971 | PulsemV=1664 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.98 GY=5.20 GZ=-0.02 | Temp=32.31 | Frame=353
[2026-04-12 04:33:09] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1963 | PulsemV=1656 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.91 GY=5.35 GZ=-0.17 | Temp=32.32 | Frame=354
[2026-04-12 04:33:10] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1958 | PulsemV=1652 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.83 GY=5.27 GZ=-0.22 | Temp=32.31 | Frame=355
[2026-04-12 04:33:10] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1975 | PulsemV=1666 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.90 GY=5.20 GZ=-0.16 | Temp=32.33 | Frame=356
[2026-04-12 04:33:11] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1963 | PulsemV=1656 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.98 GY=5.36 GZ=-0.06 | Temp=32.32 | Frame=357
[2026-04-12 04:33:11] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1957 | PulsemV=1652 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.90 GY=5.31 GZ=-0.16 | Temp=32.32 | Frame=358
[2026-04-12 04:33:12] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1959 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.02 GY=5.23 GZ=-0.14 | Temp=32.30 | Frame=359
[2026-04-12 04:33:12] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1963 | PulsemV=1656 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.84 GY=5.22 GZ=-0.26 | Temp=32.30 | Frame=360
[2026-04-12 04:33:13] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1963 | PulsemV=1656 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.08 GY=5.47 GZ=-0.12 | Temp=32.29 | Frame=361
[2026-04-12 04:33:13] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1964 | PulsemV=1658 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.07 GY=5.27 GZ=-0.10 | Temp=32.31 | Frame=362
[2026-04-12 04:33:14] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1961 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.95 GY=5.27 GZ=-0.18 | Temp=32.31 | Frame=363
[2026-04-12 04:33:14] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1959 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.98 GY=5.42 GZ=-0.11 | Temp=32.32 | Frame=364
